Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,SoilType,OrganicMatter,ElecConductivity,Zinc_ppm,Crop
73.95,47.54,36.05,26.59,67.3,6.825,93.8,Black,1.384,0.706,1.314,Sunflower
83.98,52.47,131.19,27.89,82.13,6.087,224.7,Black,3.099,0.353,1.238,Turmeric
18.34,23.07,30.57,32.38,51.5,6.468,115.1,Sandy,2.07,0.88,1.306,Mango
50.01,60.25,41.68,23.19,67.41,6.744,105.2,Red,2.869,1.006,0.408,Soybean
39.75,56.68,50.14,23.22,68.53,6.566,94.5,Loamy,0.829,1.074,0.864,Soybean
75.25,55.23,42.47,18.02,73.5,6.576,86.1,Loamy,1.612,0.814,0.835,Sunflower
31.64,72.98,73.99,18.06,62.88,7.335,83.0,Alluvial,2.422,0.787,1.275,ChickPea
20.23,25.57,30.49,33.11,52.93,6.464,103.8,Loamy,2.964,0.557,0.347,Mango
64.84,56.41,42.36,18.06,52.78,6.386,91.2,Laterite,1.077,0.957,1.118,Maize
18.08,52.54,38.02,29.35,58.66,6.07,82.1,Red,2.921,1.183,1.908,Groundnut
95.81,64.58,84.16,24.15,71.42,6.064,80.9,Loamy,1.046,1.041,0.897,Tomato
103.59,54.27,89.0,22.01,81.49,6.534,167.4,Black,1.686,0.983,1.253,Ginger
21.42,131.65,189.57,20.69,84.92,5.64,71.2,Sandy,2.347,0.414,0.978,Grapes
24.43,135.42,202.78,18.99,92.71,6.093,108.2,Loamy,2.275,0.822,1.95,Apple
129.18,70.4,105.5,15.6,84.0,5.763,112.3,Alluvial,1.854,1.236,1.294,Potato
98.8,60.51,42.21,15.76,71.86,6.979,145.0,Black,2.012,0.565,1.091,Wheat
88.02,43.95,45.31,25.79,79.62,6.41,181.6,Sandy,1.72,0.923,1.459,Jute
21.43,32.85,30.56,27.73,38.02,6.221,102.1,Clay,2.605,1.244,1.372,Mango
84.82,55.18,94.71,27.33,76.9,6.42,108.7,Laterite,2.447,0.938,0.952,Sugarcane
89.82,59.59,124.59,26.86,82.94,6.254,201.1,Red,1.525,0.902,1.158,Turmeric
23.66,44.46,78.85,25.25,44.3,7.124,50.8,Clay,2.747,0.68,1.515,MothBeans
25.3,152.54,198.77,23.35,93.46,5.542,126.5,Loamy,2.35,0.512,0.407,Apple
18.19,43.62,80.81,29.5,43.38,6.848,44.5,Clay,2.128,0.599,1.129,MothBeans
24.98,41.73,39.81,29.69,63.34,6.306,44.6,Black,2.222,1.283,1.034,MungBean
20.58,16.11,31.66,27.64,94.55,5.643,187.5,Black,2.98,0.913,1.697,Coconut
85.19,42.94,43.67,23.2,66.78,6.08,108.6,Black,3.201,0.933,0.8,Maize
24.65,56.94,82.06,20.76,61.9,5.906,74.3,Red,2.088,0.515,0.979,KidneyBeans
83.73,49.79,36.62,16.76,63.57,6.761,121.3,Sandy,3.222,1.073,1.65,Wheat
79.82,56.13,43.76,16.94,82.58,6.644,125.0,Black,1.255,0.833,1.431,Wheat
12.28,32.28,40.85,30.6,69.19,6.484,36.0,Black,2.251,0.847,0.955,MungBean
125.15,68.53,109.95,16.43,80.19,6.039,190.8,Black,2.968,0.366,1.241,Potato
85.99,63.84,123.29,23.12,80.63,6.283,218.4,Loamy,2.75,1.336,1.836,Turmeric
24.75,51.46,33.53,32.37,53.78,6.776,85.3,Alluvial,3.65,1.309,1.067,Groundnut
95.15,53.92,37.32,23.4,58.81,6.108,66.2,Alluvial,2.481,0.617,1.369,Maize
81.4,47.14,35.45,26.81,80.85,7.047,212.8,Laterite,1.216,0.608,1.364,Jute
21.53,38.08,84.77,31.05,53.71,6.315,67.4,Sandy,2.185,0.794,0.546,MothBeans
82.83,44.73,89.1,25.28,71.48,6.557,69.8,Clay,2.204,1.275,1.44,Onion
27.55,135.18,204.32,24.39,84.82,5.306,70.0,Sandy,1.547,0.653,1.674,Grapes
21.15,105.25,204.64,20.88,91.9,6.082,97.4,Loamy,3.179,0.861,1.155,Apple
104.09,89.22,52.79,25.47,74.77,6.122,93.4,Loamy,2.332,0.798,1.345,Banana
85.76,57.21,122.33,23.24,86.63,6.757,191.5,Clay,2.268,0.247,0.801,Turmeric
63.15,52.25,25.33,22.42,82.01,6.955,146.7,Alluvial,1.377,0.773,1.657,Jute
18.84,61.31,18.37,20.78,58.12,6.594,44.1,Loamy,3.158,0.828,1.1,Lentil
101.11,60.98,103.93,23.55,83.79,6.216,164.3,Black,0.915,1.019,1.31,Turmeric
81.27,36.11,38.67,25.23,85.85,6.808,189.4,Red,2.276,1.388,1.248,Rice
78.49,46.52,57.44,24.36,65.04,6.274,114.9,Red,2.717,1.229,1.204,Maize
91.52,46.09,41.05,22.76,55.23,6.843,80.9,Alluvial,2.06,1.156,0.718,Mustard
24.12,146.33,189.9,18.42,85.07,4.967,101.6,Alluvial,1.844,0.527,1.692,Apple
74.43,40.42,42.66,23.21,80.62,6.195,239.8,Black,2.375,0.39,1.19,Rice
17.83,51.32,79.16,28.88,50.78,6.295,104.4,Alluvial,1.987,0.926,1.153,PigeonPeas
93.54,70.94,123.92,27.12,82.24,6.057,201.3,Loamy,2.152,1.047,0.822,Turmeric
18.81,22.27,37.42,31.86,54.32,5.774,113.0,Red,1.842,0.4,1.639,Mango
64.04,28.15,77.98,27.23,73.06,6.551,87.6,Clay,2.014,0.885,0.89,Onion
91.97,82.68,59.76,25.09,73.31,6.288,96.3,Laterite,1.583,0.996,1.119,Banana
96.8,69.47,65.9,20.73,67.25,6.681,100.9,Laterite,3.137,0.81,1.019,Tomato
77.36,47.3,34.55,24.2,82.62,6.653,195.3,Sandy,1.33,0.922,1.289,Jute
15.05,47.86,77.44,31.32,48.98,6.779,54.7,Laterite,1.637,0.895,0.957,MothBeans
127.85,42.98,52.2,22.19,83.61,7.349,109.1,Clay,2.381,0.873,1.529,Cotton
19.91,70.12,20.24,18.63,58.45,7.098,45.6,Black,2.229,1.054,1.66,Lentil
39.12,66.48,40.09,24.66,68.6,6.123,96.8,Laterite,2.99,0.757,1.464,Soybean
44.57,53.26,26.92,26.25,66.96,6.555,126.1,Loamy,2.844,0.133,0.752,Soybean
89.1,52.42,100.56,21.41,79.66,5.967,151.9,Sandy,2.214,0.598,1.236,Ginger
15.79,34.71,73.43,28.34,53.0,7.044,64.7,Black,3.97,1.589,1.38,MothBeans
128.79,46.9,42.83,22.38,76.99,7.056,96.7,Loamy,2.566,1.01,2.048,Cotton
88.87,52.39,76.2,23.33,71.92,7.207,72.4,Laterite,2.663,0.622,1.229,Onion
83.82,57.7,52.33,22.02,62.36,6.188,119.1,Sandy,1.065,0.448,0.818,Maize
91.2,35.92,48.42,13.52,58.44,7.062,68.8,Laterite,1.865,0.795,1.3,Mustard
105.57,65.35,83.63,24.32,81.87,7.07,120.6,Clay,2.585,0.809,1.981,Sugarcane
92.91,61.98,75.79,23.87,87.85,7.166,120.0,Clay,2.207,0.307,1.298,Sugarcane
21.81,134.76,235.2,20.7,85.12,5.842,102.6,Laterite,2.231,0.967,1.454,Apple
69.74,43.23,44.27,25.35,71.35,7.416,78.5,Clay,1.831,0.759,1.321,Sunflower
19.88,120.09,213.95,23.42,82.21,5.371,77.3,Sandy,2.62,0.772,0.358,Grapes
95.98,53.63,98.33,21.85,83.81,5.872,158.5,Clay,2.765,0.55,0.504,Ginger
72.43,43.39,37.0,24.13,82.98,6.152,249.9,Loamy,1.934,0.684,0.455,Rice
72.63,43.09,33.55,19.3,61.14,6.149,101.9,Red,1.21,1.031,1.58,Maize
21.58,70.16,18.05,20.06,51.84,6.774,37.5,Sandy,2.46,0.758,1.82,Lentil
23.1,20.88,20.42,28.86,92.33,5.436,159.8,Red,3.433,0.674,1.551,Coconut
19.12,81.38,16.32,18.79,57.68,6.525,38.0,Loamy,2.807,1.086,1.423,Lentil
38.13,69.27,21.66,30.1,67.65,6.697,71.5,Red,3.026,1.278,0.776,Blackgram
94.87,37.68,29.92,14.99,70.74,7.269,64.5,Black,2.481,0.455,0.82,Mustard
82.43,56.59,74.71,22.79,70.71,6.949,95.9,Clay,2.877,0.471,1.515,Tomato
20.91,138.65,196.64,21.87,89.04,6.289,124.6,Loamy,1.949,0.529,1.718,Apple
57.64,44.13,54.0,26.13,76.61,6.611,145.7,Clay,1.85,0.539,0.781,Jute
43.51,73.3,38.67,24.27,68.11,6.439,109.7,Black,1.468,0.616,1.734,Soybean
80.3,58.75,95.68,18.31,74.19,6.576,96.1,Alluvial,2.519,0.699,1.438,Tomato
18.68,15.63,41.59,26.42,97.38,5.337,147.2,Sandy,1.61,0.582,1.639,Coconut
72.5,34.03,72.99,22.34,68.2,6.637,75.6,Alluvial,2.716,0.7,1.115,Onion
134.6,47.57,52.16,21.67,84.59,6.96,64.6,Alluvial,2.818,1.225,2.566,Cotton
80.82,35.63,36.43,11.54,66.97,7.461,70.0,Sandy,1.24,1.132,0.935,Mustard
20.44,128.13,167.88,20.46,96.87,5.831,97.2,Clay,2.0,0.717,1.128,Apple
68.23,49.56,38.64,19.05,67.79,6.754,62.0,Black,2.537,0.914,1.425,Sunflower
73.56,39.95,40.72,26.67,67.99,6.787,82.4,Sandy,2.395,0.81,0.821,Sunflower
41.65,57.83,50.77,24.25,69.03,5.674,83.4,Laterite,2.582,0.287,1.225,Soybean
92.04,67.88,69.57,25.07,75.76,7.421,122.0,Laterite,1.608,0.68,0.46,Sugarcane
77.61,33.64,36.85,24.09,76.07,6.319,217.7,Alluvial,3.465,0.952,1.313,Rice
84.51,44.83,41.2,26.23,83.45,6.085,141.5,Clay,2.636,0.899,1.221,Jute
85.13,42.9,43.6,25.13,78.86,6.67,166.7,Loamy,3.063,0.916,0.702,Jute
101.35,83.61,39.06,25.94,75.68,5.879,126.8,Laterite,2.5,1.135,1.812,Banana
69.06,56.19,46.76,21.11,69.89,6.639,114.8,Loamy,2.326,0.514,1.378,Maize
95.52,60.82,145.06,26.83,85.94,6.018,160.3,Loamy,2.36,1.44,1.311,Turmeric
18.97,27.92,28.22,32.46,50.16,6.551,113.0,Loamy,3.216,1.021,1.215,Mango
