State,District,Year,Season,Crop,Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,Yield_kg_ha,Price_INR_q
Jharkhand,Bokaro,2023,Kharif,Rice,62.82,34.68,46.83,22.64,69.97,6.05,1455.14,3297.26,1729.73
Jharkhand,Ranchi,2019,Kharif,Rice,126.77,38.84,48.65,24.46,76.25,6.57,889.4,6495.43,1920.25
Madhya Pradesh,Bhopal,2019,Rabi,Lentil,16.62,75.57,21.97,25.24,80.94,7.43,663.06,766.7,5995.43
Karnataka,Bidar,2022,Rabi,Grapes,22.83,142.63,213.46,19.6888,73.3357,6.332,1150.98,14158.7,3869.02
Telangana,Nalgonda,2019,Annual,Banana,76.29,82.77,37.48,27.58,62.51,6.51,1078.46,27690.4,1134.72
Maharashtra,Mumbai,2020,Kharif,Cotton,129.28,56.86,51.9,23.84,59.61,7.19,1042.51,386.88,5839.31
Chandigarh,Chandigarh,2020,Rabi,Wheat,68.63,50.09,24.35,29.65,60.59,7.62,690.14,4984.7,2220.3
Jharkhand,Ranchi,2020,Kharif,Rice,75.6,34.06,47.17,21.34,65.83,5.62,1005.29,1710.96,1951.25
Telangana,Nizamabad,2021,Annual,Banana,128.21,70.22,49.6,27.4855,81.8632,6.96,658.12,27749.9,1204.32
Uttar Pradesh,Saharanpur,2023,Rabi,Onion,125.15,53.57,90.04,26.84,69.82,7.12,906.93,10135.0,2064.63
Punjab,Patiala,2022,Rabi,Wheat,116.48,76.42,31.19,22.4678,80.8408,8.0933,591.42,3970.0,1843.12
Uttar Pradesh,Varanasi,2020,Kharif,Rice,78.63,53.59,18.6,27.2074,63.0225,8.6204,622.13,2376.2,2059.89
Kerala,Idukki,2022,Kharif,Turmeric,54.56,54.38,109.69,31.416,77.3991,6.0515,3540.12,3041.9,6785.39
West Bengal,South 24 Parganas,2022,Kharif,Rice,66.88,37.11,38.04,36.3253,90.4259,5.8569,964.34,3337.1,1796.0
Telangana,Nizamabad,2021,Annual,Mango,20.5,37.31,9.82,30.78,53.7347,6.3072,1063.07,8966.5,2827.24
Maharashtra,Pune,2022,Annual,Sugarcane,49.67,82.63,98.7,30.63,73.16,5.99,1252.54,63519.9,306.64
Karnataka,Davangere,2019,Rabi,Sunflower,76.0,14.91,47.33,19.2452,62.0492,6.1418,644.29,1784.3,5867.13
Karnataka,Tumkur,2019,Rabi,Sunflower,104.12,49.42,33.03,17.5765,63.5165,5.4413,1098.73,1538.6,5034.42
Andaman & Nicobar,North and Middle Andaman,2021,Annual,Banana,145.54,80.75,55.67,26.04,90.62,5.55,3186.36,29265.5,1073.45
Uttarakhand,Almora,2020,Rabi,Mustard,45.91,37.19,44.0,19.04,56.38,6.46,997.57,1567.17,5322.28
Karnataka,Dharwad,2021,Rabi,Sunflower,58.48,39.92,45.03,24.65,75.53,6.1,1048.31,455.91,6151.32
West Bengal,South 24 Parganas,2021,Kharif,Rice,84.1,28.6,44.76,27.22,80.29,5.73,1829.81,3725.06,1988.72
Andaman & Nicobar,North and Middle Andaman,2019,Annual,Coconut,23.11,20.11,24.67,25.32,87.78,5.94,3277.79,5805.4,1621.16
Goa,North Goa,2021,Annual,Mango,1.91,34.51,28.24,27.5947,73.3216,5.9002,2738.6,5508.3,3315.8
Madhya Pradesh,Dewas,2023,Rabi,Lentil,12.52,73.93,23.8,23.56,46.86,7.44,819.7,901.7,4635.04
Punjab,Fazilka,2021,Rabi,Mustard,87.98,52.87,49.53,20.8799,49.3351,7.6226,689.8,1663.8,5569.82
Maharashtra,Wardha,2023,Rabi,Wheat,118.11,48.79,17.83,16.64,71.75,6.43,888.04,3009.6,1842.13
Meghalaya,East Khasi Hills,2021,Rabi,Potato,128.52,65.13,115.41,13.0019,69.14,4.0576,2252.25,22926.9,907.95
West Bengal,Howrah,2020,Annual,Banana,103.92,95.0,65.31,27.9265,81.2936,5.8312,2086.34,28622.7,1202.34
Rajasthan,Jodhpur,2020,Zaid,MungBean,6.37,55.79,35.95,30.01,51.03,7.28,409.31,1400.9,7725.92
Uttar Pradesh,Jhansi,2019,Annual,Banana,131.77,73.54,67.27,17.0123,53.7857,7.5916,784.31,23098.6,1264.83
West Bengal,Malda,2019,Annual,Mango,17.64,29.63,13.12,24.05,82.15,5.84,1703.57,5380.53,3129.65
Andhra Pradesh,Nellore,2022,Rabi,Tomato,86.18,69.03,63.1,26.4826,86.5521,5.7416,1068.48,21496.3,2326.28
Karnataka,Dharwad,2019,Rabi,Sunflower,85.93,53.81,21.51,20.6329,66.0572,5.8681,641.25,1394.2,4803.45
Delhi,New Delhi,2019,Kharif,Rice,41.79,63.21,36.8,26.6,62.5,7.69,606.73,2113.97,1855.81
Punjab,Hoshiarpur,2022,Annual,Sugarcane,116.24,71.11,76.1,28.3458,72.9993,8.1053,720.53,60054.6,321.92
Chandigarh,Chandigarh,2022,Rabi,Mustard,46.39,45.92,37.28,23.13,52.96,7.73,612.35,1332.9,4643.13
Jammu & Kashmir,Rajouri,2021,Rabi,Potato,133.31,80.45,89.81,8.4306,85.2177,7.0122,978.73,23076.3,972.45
Uttarakhand,Tehri Garhwal,2022,Kharif,Maize,83.35,36.53,78.61,21.36,70.94,6.42,1374.37,3637.8,1766.61
Maharashtra,Nashik,2019,Rabi,Onion,85.23,39.16,56.46,18.33,65.87,5.24,1220.75,15844.0,1644.62
Telangana,Adilabad,2021,Annual,Banana,104.93,68.77,60.01,24.0224,68.5802,7.1066,1213.83,24399.0,1026.94
Tamil Nadu,Thanjavur,2021,Annual,Mango,17.57,26.72,29.18,30.81,63.36,5.94,1170.85,6349.6,3023.32
Odisha,Puri,2022,Kharif,Groundnut,31.48,55.46,20.28,32.21,83.75,6.53,1274.01,1561.8,6019.36
Tripura,North Tripura,2019,Kharif,Rice,91.58,38.77,50.54,23.8,81.17,6.67,2708.87,2380.0,2023.96
Puducherry,Yanam,2019,Annual,Sugarcane,82.27,78.32,78.43,30.5435,72.355,5.8858,1512.16,71458.2,294.54
Maharashtra,Sangli,2019,Kharif,Rice,76.75,36.42,36.16,29.59,55.02,6.09,948.45,2133.3,1778.13
Arunachal Pradesh,East Kameng,2020,Kharif,Ginger,64.69,45.25,114.03,23.37,78.81,5.71,2627.06,3278.7,5803.48
Mizoram,Serchhip,2020,Rabi,Potato,142.05,61.16,133.79,22.1219,79.8728,5.1584,1655.59,21495.1,1009.82
