State,Date,Season,Temp_Max_C,Temp_Min_C,Humidity_pct,Rainfall_mm,WindSpeed_kmh,SolarRad_Wm2,Evapotranspiration
Bihar,2021-11-14,Rabi,30.1,18.3,62.3,0.0,12.7,304.4,6.22
Daman and Diu,2021-11-12,Rabi,19.6,14.6,65.3,33.9,27.7,205.2,5.19
Chhattisgarh,2020-05-04,Zaid,47.3,38.0,80.7,13.1,25.6,305.9,3.75
Nagaland,2022-12-14,Rabi,22.1,14.6,56.2,71.4,14.0,271.9,2.89
Gujarat,2020-06-06,Kharif,34.6,30.0,69.5,32.2,24.4,286.6,3.91
Manipur,2020-11-17,Rabi,22.5,14.0,61.5,0.0,16.9,281.8,4.71
Ladakh,2021-01-20,Rabi,32.1,27.9,68.9,30.4,11.4,206.9,6.25
Meghalaya,2019-12-12,Rabi,22.9,11.8,65.7,119.9,35.6,224.9,4.97
Bihar,2020-03-22,Rabi,41.2,30.7,66.5,0.0,13.4,256.7,6.97
Kerala,2022-10-04,Kharif,23.1,13.7,84.8,0.0,18.4,195.9,6.54
Jharkhand,2020-02-26,Rabi,32.9,27.0,70.0,0.0,5.9,164.4,6.12
Daman and Diu,2019-11-16,Rabi,31.0,19.5,55.4,31.2,13.6,239.5,3.73
Nagaland,2022-03-25,Rabi,33.0,26.3,71.6,40.2,21.2,320.6,3.01
Rajasthan,2021-09-08,Kharif,23.3,12.9,22.4,0.0,32.9,254.6,4.23
Telangana,2022-11-02,Rabi,26.6,19.9,72.6,52.7,15.6,258.4,5.18
Sikkim,2022-03-20,Rabi,33.8,23.5,76.4,0.0,10.1,225.0,3.54
Sikkim,2021-07-05,Kharif,32.2,21.0,56.2,71.2,14.0,305.2,3.49
Daman and Diu,2019-06-14,Kharif,26.3,20.1,56.8,36.0,23.2,174.8,2.36
Manipur,2021-11-16,Rabi,20.3,14.5,60.7,16.7,13.6,257.1,5.65
Kerala,2022-05-19,Zaid,33.5,22.9,93.7,153.0,10.6,276.5,5.3
Mizoram,2022-12-03,Rabi,18.7,11.0,64.6,6.3,15.2,281.6,5.37
Daman and Diu,2021-08-25,Kharif,25.7,16.4,66.5,31.0,16.9,261.7,3.93
Lakshadweep,2020-10-30,Kharif,24.7,19.8,65.5,71.9,9.9,262.1,3.47
Bihar,2020-04-01,Zaid,28.5,23.1,67.9,9.2,11.5,290.7,4.41
Goa,2022-03-27,Rabi,42.3,32.3,63.0,36.1,20.7,304.7,3.86
Maharashtra,2021-03-19,Rabi,32.6,27.5,67.4,21.6,24.1,220.6,7.63
Manipur,2020-10-31,Kharif,29.5,23.0,56.4,47.3,18.0,303.4,8.05
Maharashtra,2021-06-29,Kharif,27.2,22.4,54.5,52.5,8.8,274.8,4.66
Assam,2022-06-02,Kharif,32.3,26.2,88.0,426.5,19.4,308.8,5.93
Chandigarh,2020-04-09,Zaid,37.3,28.4,66.3,28.1,18.9,265.6,5.17
Puducherry,2022-06-30,Kharif,29.4,20.4,69.5,55.5,20.0,272.0,4.31
Telangana,2020-12-05,Rabi,29.1,19.8,72.4,51.3,7.1,310.4,5.36
Uttarakhand,2021-10-20,Kharif,27.0,22.9,60.9,10.5,16.6,239.1,4.57
Daman and Diu,2022-10-27,Kharif,19.7,8.7,60.7,0.0,13.8,245.6,2.79
Tamil Nadu,2020-02-07,Rabi,34.7,28.4,53.2,19.5,16.6,247.3,4.54
Bihar,2020-02-13,Rabi,42.5,32.4,70.6,16.5,15.6,378.8,3.13
Uttar Pradesh,2022-04-01,Zaid,28.2,23.5,59.6,33.4,18.9,197.9,4.83
West Bengal,2019-05-04,Zaid,35.4,25.6,52.1,73.1,22.6,263.4,3.62
Bihar,2022-12-19,Rabi,33.1,24.4,56.3,23.4,20.5,253.7,4.49
